Country Name,Indicator Name,Year,Observation Value,Nature,Obs_Status,Date Updated,Country Files,Footnote,Continent,Year_Total,Percentage_of_Total
Bangladesh,Beach litter originating from national land-based sources ends in the Ocean,2019,136403,M,A,2022-02-02,-,-,Asia,4667449,2.92
Bangladesh,Beach litter originating from national land-based sources ends in the Ocean,2020,136402,M,A,2022-02-02,-,-,Asia,4896483,2.79
Bangladesh,Beach litter originating from national land-based sources ends in the Ocean,2021,119879,M,A,2022-02-02,-,-,Asia,5283239,2.27
Bangladesh,Beach litter originating from national land-based sources ends in the Ocean,2022,120290,M,A,2023-10-08,-,-,Asia,5265779,2.28
Barbados,Beach litter originating from national land-based sources ends in the Ocean,2017,223,M,A,2022-02-02,-,-,North America,4753968,0.0
Barbados,Beach litter originating from national land-based sources ends in the Ocean,2018,254,M,A,2022-02-02,-,-,North America,4709069,0.01
Barbados,Beach litter originating from national land-based sources ends in the Ocean,2019,274,M,A,2022-02-02,-,-,North America,4667449,0.01
Barbados,Beach litter originating from national land-based sources ends in the Ocean,2020,296,M,A,2022-02-02,-,-,North America,4896483,0.01
Barbados,Beach litter originating from national land-based sources ends in the Ocean,2021,304,M,A,2022-02-02,-,-,North America,5283239,0.01
Barbados,Beach litter originating from national land-based sources ends in the Ocean,2022,314,M,A,2023-10-08,-,-,North America,5265779,0.01
Belgium,Beach litter originating from national land-based sources ends in the Ocean,2017,4,M,A,2022-02-02,-,-,Europe,4753968,0.0
Belgium,Beach litter originating from national land-based sources ends in the Ocean,2018,10,M,A,2022-02-02,-,-,Europe,4709069,0.0
Belgium,Beach litter originating from national land-based sources ends in the Ocean,2019,14,M,A,2022-02-02,-,-,Europe,4667449,0.0
Belgium,Beach litter originating from national land-based sources ends in the Ocean,2020,7,M,A,2022-02-02,-,-,Europe,4896483,0.0
Belgium,Beach litter originating from national land-based sources ends in the Ocean,2021,9,M,A,2022-02-02,-,-,Europe,5283239,0.0
Belgium,Beach litter originating from national land-based sources ends in the Ocean,2022,12,M,A,2023-10-08,-,-,Europe,5265779,0.0
Belize,Beach litter originating from national land-based sources ends in the Ocean,2017,538,M,A,2022-02-02,-,-,North America,4753968,0.01
Belize,Beach litter originating from national land-based sources ends in the Ocean,2018,692,M,A,2022-02-02,-,-,North America,4709069,0.01
Belize,Beach litter originating from national land-based sources ends in the Ocean,2019,827,M,A,2022-02-02,-,-,North America,4667449,0.02
Belize,Beach litter originating from national land-based sources ends in the Ocean,2020,530,M,A,2022-02-02,-,-,North America,4896483,0.01
Belize,Beach litter originating from national land-based sources ends in the Ocean,2021,653,M,A,2022-02-02,-,-,North America,5283239,0.01
Belize,Beach litter originating from national land-based sources ends in the Ocean,2022,925,M,A,2023-10-08,-,-,North America,5265779,0.02
Benin,Beach litter originating from national land-based sources ends in the Ocean,2017,579,M,A,2022-02-02,-,-,Africa,4753968,0.01
Benin,Beach litter originating from national land-based sources ends in the Ocean,2018,596,M,A,2022-02-02,-,-,Africa,4709069,0.01
Benin,Beach litter originating from national land-based sources ends in the Ocean,2019,244,M,A,2022-02-02,-,-,Africa,4667449,0.01
Benin,Beach litter originating from national land-based sources ends in the Ocean,2020,610,M,A,2022-02-02,-,-,Africa,4896483,0.01
Benin,Beach litter originating from national land-based sources ends in the Ocean,2021,659,M,A,2022-02-02,-,-,Africa,5283239,0.01
Benin,Beach litter originating from national land-based sources ends in the Ocean,2022,622,M,A,2023-10-08,-,-,Africa,5265779,0.01
Brazil,Beach litter originating from national land-based sources ends in the Ocean,2017,284851,M,A,2022-02-02,-,-,South America,4753968,5.99
Brazil,Beach litter originating from national land-based sources ends in the Ocean,2018,305729,M,A,2022-02-02,-,-,South America,4709069,6.49
Brazil,Beach litter originating from national land-based sources ends in the Ocean,2019,300873,M,A,2022-02-02,-,-,South America,4667449,6.45
Brazil,Beach litter originating from national land-based sources ends in the Ocean,2020,328453,M,A,2022-02-02,-,-,South America,4896483,6.71
Brazil,Beach litter originating from national land-based sources ends in the Ocean,2021,353959,M,A,2022-02-02,-,-,South America,5283239,6.7
Brazil,Beach litter originating from national land-based sources ends in the Ocean,2022,377833,M,A,2023-10-08,-,-,South America,5265779,7.18
Brunei Darussalam,Beach litter originating from national land-based sources ends in the Ocean,2017,543,M,A,2022-02-02,-,-,Asia,4753968,0.01
Brunei Darussalam,Beach litter originating from national land-based sources ends in the Ocean,2018,502,M,A,2022-02-02,-,-,Asia,4709069,0.01
Brunei Darussalam,Beach litter originating from national land-based sources ends in the Ocean,2019,495,M,A,2022-02-02,-,-,Asia,4667449,0.01
Brunei Darussalam,Beach litter originating from national land-based sources ends in the Ocean,2020,615,M,A,2022-02-02,-,-,Asia,4896483,0.01
Brunei Darussalam,Beach litter originating from national land-based sources ends in the Ocean,2021,627,M,A,2022-02-02,-,-,Asia,5283239,0.01
Brunei Darussalam,Beach litter originating from national land-based sources ends in the Ocean,2022,706,M,A,2023-10-08,-,-,Asia,5265779,0.01
Bulgaria,Beach litter originating from national land-based sources ends in the Ocean,2017,70,M,A,2022-02-02,-,-,Europe,4753968,0.0
Bulgaria,Beach litter originating from national land-based sources ends in the Ocean,2018,29,M,A,2022-02-02,-,-,Europe,4709069,0.0
Bulgaria,Beach litter originating from national land-based sources ends in the Ocean,2019,53,M,A,2022-02-02,-,-,Europe,4667449,0.0
Bulgaria,Beach litter originating from national land-based sources ends in the Ocean,2020,30,M,A,2022-02-02,-,-,Europe,4896483,0.0
Bulgaria,Beach litter originating from national land-based sources ends in the Ocean,2021,62,M,A,2022-02-02,-,-,Europe,5283239,0.0
Bulgaria,Beach litter originating from national land-based sources ends in the Ocean,2022,56,M,A,2023-10-08,-,-,Europe,5265779,0.0
Cabo Verde,Beach litter originating from national land-based sources ends in the Ocean,2017,1230,M,A,2022-02-02,-,-,Africa,4753968,0.03
Cabo Verde,Beach litter originating from national land-based sources ends in the Ocean,2018,1253,M,A,2022-02-02,-,-,Africa,4709069,0.03
Cabo Verde,Beach litter originating from national land-based sources ends in the Ocean,2019,1248,M,A,2022-02-02,-,-,Africa,4667449,0.03
Cabo Verde,Beach litter originating from national land-based sources ends in the Ocean,2020,1321,M,A,2022-02-02,-,-,Africa,4896483,0.03
Cabo Verde,Beach litter originating from national land-based sources ends in the Ocean,2021,1341,M,A,2022-02-02,-,-,Africa,5283239,0.03
Cabo Verde,Beach litter originating from national land-based sources ends in the Ocean,2022,1352,M,A,2023-10-08,-,-,Africa,5265779,0.03
Cambodia,Beach litter originating from national land-based sources ends in the Ocean,2017,916,M,A,2022-02-02,-,-,Asia,4753968,0.02
Cambodia,Beach litter originating from national land-based sources ends in the Ocean,2018,770,M,A,2022-02-02,-,-,Asia,4709069,0.02
Cambodia,Beach litter originating from national land-based sources ends in the Ocean,2019,812,M,A,2022-02-02,-,-,Asia,4667449,0.02
Cambodia,Beach litter originating from national land-based sources ends in the Ocean,2020,767,M,A,2022-02-02,-,-,Asia,4896483,0.02
Cambodia,Beach litter originating from national land-based sources ends in the Ocean,2021,940,M,A,2022-02-02,-,-,Asia,5283239,0.02
Cambodia,Beach litter originating from national land-based sources ends in the Ocean,2022,1130,M,A,2023-10-08,-,-,Asia,5265779,0.02
Cameroon,Beach litter originating from national land-based sources ends in the Ocean,2017,252,M,A,2022-02-02,-,-,Africa,4753968,0.01
Cameroon,Beach litter originating from national land-based sources ends in the Ocean,2018,289,M,A,2022-02-02,-,-,Africa,4709069,0.01
Cameroon,Beach litter originating from national land-based sources ends in the Ocean,2019,193,M,A,2022-02-02,-,-,Africa,4667449,0.0
Cameroon,Beach litter originating from national land-based sources ends in the Ocean,2020,258,M,A,2022-02-02,-,-,Africa,4896483,0.01
Cameroon,Beach litter originating from national land-based sources ends in the Ocean,2021,616,M,A,2022-02-02,-,-,Africa,5283239,0.01
Cameroon,Beach litter originating from national land-based sources ends in the Ocean,2022,1593,M,A,2023-10-08,-,-,Africa,5265779,0.03
Canada,Beach litter originating from national land-based sources ends in the Ocean,2017,222,M,A,2022-02-02,-,-,North America,4753968,0.0
Canada,Beach litter originating from national land-based sources ends in the Ocean,2018,186,M,A,2022-02-02,-,-,North America,4709069,0.0
Canada,Beach litter originating from national land-based sources ends in the Ocean,2019,218,M,A,2022-02-02,-,-,North America,4667449,0.0
Canada,Beach litter originating from national land-based sources ends in the Ocean,2020,259,M,A,2022-02-02,-,-,North America,4896483,0.01
Canada,Beach litter originating from national land-based sources ends in the Ocean,2021,223,M,A,2022-02-02,-,-,North America,5283239,0.0
Canada,Beach litter originating from national land-based sources ends in the Ocean,2022,320,M,A,2023-10-08,-,-,North America,5265779,0.01
Chile,Beach litter originating from national land-based sources ends in the Ocean,2017,3726,M,A,2022-02-02,-,-,South America,4753968,0.08
Chile,Beach litter originating from national land-based sources ends in the Ocean,2018,3889,M,A,2022-02-02,-,-,South America,4709069,0.08
Chile,Beach litter originating from national land-based sources ends in the Ocean,2019,3904,M,A,2022-02-02,-,-,South America,4667449,0.08
Chile,Beach litter originating from national land-based sources ends in the Ocean,2020,3832,M,A,2022-02-02,-,-,South America,4896483,0.08
Chile,Beach litter originating from national land-based sources ends in the Ocean,2021,3676,M,A,2022-02-02,-,-,South America,5283239,0.07
Chile,Beach litter originating from national land-based sources ends in the Ocean,2022,3501,M,A,2023-10-08,-,-,South America,5265779,0.07
China,Beach litter originating from national land-based sources ends in the Ocean,2017,649214,M,A,2022-02-02,-,-,Asia,4753968,13.66
China,Beach litter originating from national land-based sources ends in the Ocean,2018,576566,M,A,2022-02-02,-,-,Asia,4709069,12.24
China,Beach litter originating from national land-based sources ends in the Ocean,2019,501870,M,A,2022-02-02,-,-,Asia,4667449,10.75
China,Beach litter originating from national land-based sources ends in the Ocean,2020,497435,M,A,2022-02-02,-,-,Asia,4896483,10.16
China,Beach litter originating from national land-based sources ends in the Ocean,2021,726819,M,A,2022-02-02,-,-,Asia,5283239,13.76
China,Beach litter originating from national land-based sources ends in the Ocean,2022,580117,M,A,2023-10-08,-,-,Asia,5265779,11.02
Colombia,Beach litter originating from national land-based sources ends in the Ocean,2017,6954,M,A,2022-02-02,-,-,South America,4753968,0.15
Colombia,Beach litter originating from national land-based sources ends in the Ocean,2018,5330,M,A,2022-02-02,-,-,South America,4709069,0.11
Colombia,Beach litter originating from national land-based sources ends in the Ocean,2019,5038,M,A,2022-02-02,-,-,South America,4667449,0.11
Colombia,Beach litter originating from national land-based sources ends in the Ocean,2020,8883,M,A,2022-02-02,-,-,South America,4896483,0.18
Colombia,Beach litter originating from national land-based sources ends in the Ocean,2021,7325,M,A,2022-02-02,-,-,South America,5283239,0.14
Colombia,Beach litter originating from national land-based sources ends in the Ocean,2022,9863,M,A,2023-10-08,-,-,South America,5265779,0.19
Comoros,Beach litter originating from national land-based sources ends in the Ocean,2017,13765,M,A,2022-02-02,-,-,Africa,4753968,0.29
Comoros,Beach litter originating from national land-based sources ends in the Ocean,2018,15379,M,A,2022-02-02,-,-,Africa,4709069,0.33
Comoros,Beach litter originating from national land-based sources ends in the Ocean,2019,15869,M,A,2022-02-02,-,-,Africa,4667449,0.34
Comoros,Beach litter originating from national land-based sources ends in the Ocean,2020,17648,M,A,2022-02-02,-,-,Africa,4896483,0.36
Comoros,Beach litter originating from national land-based sources ends in the Ocean,2021,17060,M,A,2022-02-02,-,-,Africa,5283239,0.32
Comoros,Beach litter originating from national land-based sources ends in the Ocean,2022,17456,M,A,2023-10-08,-,-,Africa,5265779,0.33
Congo,Beach litter originating from national land-based sources ends in the Ocean,2017,192,M,A,2022-02-02,-,-,Africa,4753968,0.0
Congo,Beach litter originating from national land-based sources ends in the Ocean,2018,106,M,A,2022-02-02,-,-,Africa,4709069,0.0
Congo,Beach litter originating from national land-based sources ends in the Ocean,2019,35,M,A,2022-02-02,-,-,Africa,4667449,0.0
Congo,Beach litter originating from national land-based sources ends in the Ocean,2020,182,M,A,2022-02-02,-,-,Africa,4896483,0.0
Congo,Beach litter originating from national land-based sources ends in the Ocean,2021,149,M,A,2022-02-02,-,-,Africa,5283239,0.0
Congo,Beach litter originating from national land-based sources ends in the Ocean,2022,42,M,A,2023-10-08,-,-,Africa,5265779,0.0
Costa Rica,Beach litter originating from national land-based sources ends in the Ocean,2017,1760,M,A,2022-02-02,-,-,North America,4753968,0.04
Costa Rica,Beach litter originating from national land-based sources ends in the Ocean,2018,1673,M,A,2022-02-02,-,-,North America,4709069,0.04
Costa Rica,Beach litter originating from national land-based sources ends in the Ocean,2019,1849,M,A,2022-02-02,-,-,North America,4667449,0.04
Costa Rica,Beach litter originating from national land-based sources ends in the Ocean,2020,1987,M,A,2022-02-02,-,-,North America,4896483,0.04
Costa Rica,Beach litter originating from national land-based sources ends in the Ocean,2021,1835,M,A,2022-02-02,-,-,North America,5283239,0.03
Costa Rica,Beach litter originating from national land-based sources ends in the Ocean,2022,2006,M,A,2023-10-08,-,-,North America,5265779,0.04
Cote d'Ivoire,Beach litter originating from national land-based sources ends in the Ocean,2017,14,M,A,2022-02-02,-,-,Africa,4753968,0.0
Cote d'Ivoire,Beach litter originating from national land-based sources ends in the Ocean,2018,770,M,A,2022-02-02,-,-,Africa,4709069,0.02
Cote d'Ivoire,Beach litter originating from national land-based sources ends in the Ocean,2019,1008,M,A,2022-02-02,-,-,Africa,4667449,0.02
Cote d'Ivoire,Beach litter originating from national land-based sources ends in the Ocean,2020,1107,M,A,2022-02-02,-,-,Africa,4896483,0.02
Cote d'Ivoire,Beach litter originating from national land-based sources ends in the Ocean,2021,945,M,A,2022-02-02,-,-,Africa,5283239,0.02
Cote d'Ivoire,Beach litter originating from national land-based sources ends in the Ocean,2022,1374,M,A,2023-10-08,-,-,Africa,5265779,0.03
Croatia,Beach litter originating from national land-based sources ends in the Ocean,2017,2554,M,A,2022-02-02,-,-,Europe,4753968,0.05
Croatia,Beach litter originating from national land-based sources ends in the Ocean,2018,2290,M,A,2022-02-02,-,-,Europe,4709069,0.05
Croatia,Beach litter originating from national land-based sources ends in the Ocean,2019,2529,M,A,2022-02-02,-,-,Europe,4667449,0.05
Croatia,Beach litter originating from national land-based sources ends in the Ocean,2020,2521,M,A,2022-02-02,-,-,Europe,4896483,0.05
Croatia,Beach litter originating from national land-based sources ends in the Ocean,2021,2819,M,A,2022-02-02,-,-,Europe,5283239,0.05
Croatia,Beach litter originating from national land-based sources ends in the Ocean,2022,2641,M,A,2023-10-08,-,-,Europe,5265779,0.05
Cyprus,Beach litter originating from national land-based sources ends in the Ocean,2017,37,M,A,2022-02-02,-,-,Asia,4753968,0.0
Cyprus,Beach litter originating from national land-based sources ends in the Ocean,2018,45,M,A,2022-02-02,-,-,Asia,4709069,0.0
Cyprus,Beach litter originating from national land-based sources ends in the Ocean,2019,56,M,A,2022-02-02,-,-,Asia,4667449,0.0
Cyprus,Beach litter originating from national land-based sources ends in the Ocean,2020,42,M,A,2022-02-02,-,-,Asia,4896483,0.0
Cyprus,Beach litter originating from national land-based sources ends in the Ocean,2021,45,M,A,2022-02-02,-,-,Asia,5283239,0.0
Cyprus,Beach litter originating from national land-based sources ends in the Ocean,2022,87,M,A,2023-10-08,-,-,Asia,5265779,0.0
Democratic People's Republic of Korea,Beach litter originating from national land-based sources ends in the Ocean,2017,9472,M,A,2022-02-02,-,-,Asia,4753968,0.2
Democratic People's Republic of Korea,Beach litter originating from national land-based sources ends in the Ocean,2018,11227,M,A,2022-02-02,-,-,Asia,4709069,0.24
Democratic People's Republic of Korea,Beach litter originating from national land-based sources ends in the Ocean,2019,10906,M,A,2022-02-02,-,-,Asia,4667449,0.23
Democratic People's Republic of Korea,Beach litter originating from national land-based sources ends in the Ocean,2020,10567,M,A,2022-02-02,-,-,Asia,4896483,0.22
Democratic People's Republic of Korea,Beach litter originating from national land-based sources ends in the Ocean,2021,11053,M,A,2022-02-02,-,-,Asia,5283239,0.21
Democratic People's Republic of Korea,Beach litter originating from national land-based sources ends in the Ocean,2022,12143,M,A,2023-10-08,-,-,Asia,5265779,0.23
Democratic Republic of the Congo,Beach litter originating from national land-based sources ends in the Ocean,2017,7,M,A,2022-02-02,-,-,Africa,4753968,0.0
Democratic Republic of the Congo,Beach litter originating from national land-based sources ends in the Ocean,2018,10,M,A,2022-02-02,-,-,Africa,4709069,0.0
Democratic Republic of the Congo,Beach litter originating from national land-based sources ends in the Ocean,2019,8,M,A,2022-02-02,-,-,Africa,4667449,0.0
Democratic Republic of the Congo,Beach litter originating from national land-based sources ends in the Ocean,2020,7,M,A,2022-02-02,-,-,Africa,4896483,0.0
Democratic Republic of the Congo,Beach litter originating from national land-based sources ends in the Ocean,2021,4,M,A,2022-02-02,-,-,Africa,5283239,0.0
Democratic Republic of the Congo,Beach litter originating from national land-based sources ends in the Ocean,2022,8,M,A,2023-10-08,-,-,Africa,5265779,0.0
Denmark,Beach litter originating from national land-based sources ends in the Ocean,2017,15,M,A,2022-02-02,-,-,Europe,4753968,0.0
Denmark,Beach litter originating from national land-based sources ends in the Ocean,2018,41,M,A,2022-02-02,-,-,Europe,4709069,0.0
Denmark,Beach litter originating from national land-based sources ends in the Ocean,2019,43,M,A,2022-02-02,-,-,Europe,4667449,0.0
Denmark,Beach litter originating from national land-based sources ends in the Ocean,2020,29,M,A,2022-02-02,-,-,Europe,4896483,0.0
Denmark,Beach litter originating from national land-based sources ends in the Ocean,2021,37,M,A,2022-02-02,-,-,Europe,5283239,0.0
Denmark,Beach litter originating from national land-based sources ends in the Ocean,2022,35,M,A,2023-10-08,-,-,Europe,5265779,0.0
Djibouti,Beach litter originating from national land-based sources ends in the Ocean,2017,742,M,A,2022-02-02,-,-,Africa,4753968,0.02
Djibouti,Beach litter originating from national land-based sources ends in the Ocean,2018,632,M,A,2022-02-02,-,-,Africa,4709069,0.01
Djibouti,Beach litter originating from national land-based sources ends in the Ocean,2019,467,M,A,2022-02-02,-,-,Africa,4667449,0.01
Djibouti,Beach litter originating from national land-based sources ends in the Ocean,2020,896,M,A,2022-02-02,-,-,Africa,4896483,0.02
Djibouti,Beach litter originating from national land-based sources ends in the Ocean,2021,714,M,A,2022-02-02,-,-,Africa,5283239,0.01
Djibouti,Beach litter originating from national land-based sources ends in the Ocean,2022,791,M,A,2023-10-08,-,-,Africa,5265779,0.02
Dominica,Beach litter originating from national land-based sources ends in the Ocean,2017,317,M,A,2022-02-02,-,-,North America,4753968,0.01
Dominica,Beach litter originating from national land-based sources ends in the Ocean,2018,316,M,A,2022-02-02,-,-,North America,4709069,0.01
Dominica,Beach litter originating from national land-based sources ends in the Ocean,2019,303,M,A,2022-02-02,-,-,North America,4667449,0.01
Dominica,Beach litter originating from national land-based sources ends in the Ocean,2020,353,M,A,2022-02-02,-,-,North America,4896483,0.01
Dominica,Beach litter originating from national land-based sources ends in the Ocean,2021,364,M,A,2022-02-02,-,-,North America,5283239,0.01
Dominica,Beach litter originating from national land-based sources ends in the Ocean,2022,386,M,A,2023-10-08,-,-,North America,5265779,0.01
Dominican Republic,Beach litter originating from national land-based sources ends in the Ocean,2017,40927,M,A,2022-02-02,-,-,North America,4753968,0.86
Dominican Republic,Beach litter originating from national land-based sources ends in the Ocean,2018,42248,M,A,2022-02-02,-,-,North America,4709069,0.9
Dominican Republic,Beach litter originating from national land-based sources ends in the Ocean,2019,43360,M,A,2022-02-02,-,-,North America,4667449,0.93
Dominican Republic,Beach litter originating from national land-based sources ends in the Ocean,2020,53214,M,A,2022-02-02,-,-,North America,4896483,1.09
Dominican Republic,Beach litter originating from national land-based sources ends in the Ocean,2021,55594,M,A,2022-02-02,-,-,North America,5283239,1.05
Dominican Republic,Beach litter originating from national land-based sources ends in the Ocean,2022,59858,M,A,2023-10-08,-,-,North America,5265779,1.14
Ecuador,Beach litter originating from national land-based sources ends in the Ocean,2017,198,M,A,2022-02-02,-,-,South America,4753968,0.0
Ecuador,Beach litter originating from national land-based sources ends in the Ocean,2018,267,M,A,2022-02-02,-,-,South America,4709069,0.01
Ecuador,Beach litter originating from national land-based sources ends in the Ocean,2019,357,M,A,2022-02-02,-,-,South America,4667449,0.01
Ecuador,Beach litter originating from national land-based sources ends in the Ocean,2020,150,M,A,2022-02-02,-,-,South America,4896483,0.0
Ecuador,Beach litter originating from national land-based sources ends in the Ocean,2021,49,M,A,2022-02-02,-,-,South America,5283239,0.0
Ecuador,Beach litter originating from national land-based sources ends in the Ocean,2022,69,M,A,2023-10-08,-,-,South America,5265779,0.0
Egypt,Beach litter originating from national land-based sources ends in the Ocean,2017,17502,M,A,2022-02-02,-,-,Africa,4753968,0.37
Egypt,Beach litter originating from national land-based sources ends in the Ocean,2018,41101,M,A,2022-02-02,-,-,Africa,4709069,0.87
Egypt,Beach litter originating from national land-based sources ends in the Ocean,2019,51536,M,A,2022-02-02,-,-,Africa,4667449,1.1
Egypt,Beach litter originating from national land-based sources ends in the Ocean,2020,41062,M,A,2022-02-02,-,-,Africa,4896483,0.84
Egypt,Beach litter originating from national land-based sources ends in the Ocean,2021,41213,M,A,2022-02-02,-,-,Africa,5283239,0.78
Egypt,Beach litter originating from national land-based sources ends in the Ocean,2022,25483,M,A,2023-10-08,-,-,Africa,5265779,0.48
El Salvador,Beach litter originating from national land-based sources ends in the Ocean,2017,9905,M,A,2022-02-02,-,-,North America,4753968,0.21
El Salvador,Beach litter originating from national land-based sources ends in the Ocean,2018,10857,M,A,2022-02-02,-,-,North America,4709069,0.23
El Salvador,Beach litter originating from national land-based sources ends in the Ocean,2019,11391,M,A,2022-02-02,-,-,North America,4667449,0.24
El Salvador,Beach litter originating from national land-based sources ends in the Ocean,2020,10288,M,A,2022-02-02,-,-,North America,4896483,0.21
